"Id";"ActivityDay";"StepTotal"
4702921684;"2016-05-11 00:00:00";9810
4702921684;"2016-05-12 00:00:00";2752
5553957443;"2016-04-12 00:00:00";11596
5553957443;"2016-04-13 00:00:00";4832
5553957443;"2016-04-14 00:00:00";17022
5553957443;"2016-04-15 00:00:00";16556
5553957443;"2016-04-16 00:00:00";5771
5553957443;"2016-04-17 00:00:00";655
5553957443;"2016-04-18 00:00:00";3727
5553957443;"2016-04-19 00:00:00";15482
5553957443;"2016-04-20 00:00:00";2713
5553957443;"2016-04-21 00:00:00";12346
5553957443;"2016-04-22 00:00:00";11682
5553957443;"2016-04-23 00:00:00";4112
5553957443;"2016-04-24 00:00:00";1807
5553957443;"2016-04-25 00:00:00";10946
5553957443;"2016-04-26 00:00:00";11886
5553957443;"2016-04-27 00:00:00";10538
5553957443;"2016-04-28 00:00:00";11393
5553957443;"2016-04-29 00:00:00";12764
5553957443;"2016-04-30 00:00:00";1202
5553957443;"2016-05-01 00:00:00";5164
5553957443;"2016-05-02 00:00:00";9769
5553957443;"2016-05-03 00:00:00";12848
5553957443;"2016-05-04 00:00:00";4249
5553957443;"2016-05-05 00:00:00";14331
5553957443;"2016-05-06 00:00:00";9632
5553957443;"2016-05-07 00:00:00";1868
5553957443;"2016-05-08 00:00:00";6083
5553957443;"2016-05-09 00:00:00";11611
5553957443;"2016-05-10 00:00:00";16358
5553957443;"2016-05-11 00:00:00";4926
5553957443;"2016-05-12 00:00:00";3121
5577150313;"2016-04-12 00:00:00";8135
5577150313;"2016-04-13 00:00:00";5077
5577150313;"2016-04-14 00:00:00";8596
5577150313;"2016-04-15 00:00:00";12087
5577150313;"2016-04-16 00:00:00";14269
5577150313;"2016-04-17 00:00:00";12231
5577150313;"2016-04-18 00:00:00";9893
5577150313;"2016-04-19 00:00:00";12574
5577150313;"2016-04-20 00:00:00";8330
5577150313;"2016-04-21 00:00:00";10830
5577150313;"2016-04-22 00:00:00";9172
5577150313;"2016-04-23 00:00:00";7638
5577150313;"2016-04-24 00:00:00";15764
5577150313;"2016-04-25 00:00:00";6393
5577150313;"2016-04-26 00:00:00";5325
5577150313;"2016-04-27 00:00:00";6805
5577150313;"2016-04-28 00:00:00";9841
5577150313;"2016-04-29 00:00:00";7924
5577150313;"2016-04-30 00:00:00";12363
5577150313;"2016-05-01 00:00:00";13368
5577150313;"2016-05-02 00:00:00";7439
5577150313;"2016-05-03 00:00:00";11045
5577150313;"2016-05-04 00:00:00";5206
5577150313;"2016-05-05 00:00:00";7550
5577150313;"2016-05-06 00:00:00";4950
5577150313;"2016-05-07 00:00:00";0
5577150313;"2016-05-08 00:00:00";0
5577150313;"2016-05-09 00:00:00";3421
5577150313;"2016-05-10 00:00:00";8869
5577150313;"2016-05-11 00:00:00";4038
6117666160;"2016-04-12 00:00:00";0
6117666160;"2016-04-13 00:00:00";0
6117666160;"2016-04-14 00:00:00";0
6117666160;"2016-04-15 00:00:00";14019
6117666160;"2016-04-16 00:00:00";14450
6117666160;"2016-04-17 00:00:00";7150
6117666160;"2016-04-18 00:00:00";5153
6117666160;"2016-04-19 00:00:00";11135
6117666160;"2016-04-20 00:00:00";10449
6117666160;"2016-04-21 00:00:00";19542
6117666160;"2016-04-22 00:00:00";8206
6117666160;"2016-04-23 00:00:00";11495
6117666160;"2016-04-24 00:00:00";7623
6117666160;"2016-04-25 00:00:00";0
6117666160;"2016-04-26 00:00:00";9543
6117666160;"2016-04-27 00:00:00";9411
6117666160;"2016-04-28 00:00:00";3403
6117666160;"2016-04-29 00:00:00";9592
6117666160;"2016-04-30 00:00:00";6987
6117666160;"2016-05-01 00:00:00";8915
6117666160;"2016-05-02 00:00:00";4933
6117666160;"2016-05-03 00:00:00";0
6117666160;"2016-05-04 00:00:00";2997
6117666160;"2016-05-05 00:00:00";9799
6117666160;"2016-05-06 00:00:00";3365
6117666160;"2016-05-07 00:00:00";7336
6117666160;"2016-05-08 00:00:00";7328
6117666160;"2016-05-09 00:00:00";4477
6290855005;"2016-04-12 00:00:00";4562
6290855005;"2016-04-13 00:00:00";7142
6290855005;"2016-04-14 00:00:00";7671
6290855005;"2016-04-15 00:00:00";9501
6290855005;"2016-04-16 00:00:00";8301
6290855005;"2016-04-17 00:00:00";7851
6290855005;"2016-04-18 00:00:00";6885
6290855005;"2016-04-19 00:00:00";7142
6290855005;"2016-04-20 00:00:00";6361
6290855005;"2016-04-21 00:00:00";0
6290855005;"2016-04-22 00:00:00";6238
